"gene_id"	"gene_short_name"	"CtlHIO_0"	"CtlHIO_1"	"CtlHIO_2"	"EcoliHIO_0"	"EcoliHIO_1"	"EcoliHIO_2"	"HIO_0"	"HIO_1"	"HIO_2"	"HuSI_Duo_A_0"	"HuSI_Duo_A_1"	"HuSI_Dist_A_0"	"HuSI_Dist_A_1"	"HuSI_Dist_A_2"	"HuSI_Dist_A_3"	"HuSI_F_0"	"HuSI_F_1"	"HuSI_F_2"	"HuSI_F_3"	"HuSI_F_4"	"HuSI_F_5"
"NOM1"	"NOM1"	3.33344	3.55503	3.29056	2.03491	2.46132	1.93924	3.53893	3.94036	3.62434	3.76544	3.1837	3.19068	4.08492	2.70229	4.0306	4.94424	4.99634	6.08111	4.89309	4.78581	6.08377
"NOMO1"	"NOMO1"	13.8209	14.1897	11.7605	15.1805	14.1081	13.0436	12.7606	12.9839	8.99494	12.3367	6.88243	7.97431	8.99399	8.74097	9.23136	9.02911	2.43099	4.37051	2.03303	4.35022	2.36788
"NOMO2"	"NOMO2"	4.2876	4.51196	3.41579	1.39639	1.7807	1.70403	2.0984	2.21459	2.00641	3.10941	5.34463	4.0115	5.48517	2.63181	4.0932	5.82363	0.822389	1.35454	0.883014	1.89102	0.77109
"NOMO3"	"NOMO3"	0.432835	0.370874	0.380465	0.0768858	0.142905	0.106873	0.214828	0.206226	0.148573	2.4246	1.1403	1.01762	1.28711	1.01469	0.767984	2.43908	0.699359	0.657382	0.470004	0.386106	0.00606292
"NONO"	"NONO"	174.744	169.19	191.127	220.389	268.811	229.034	157.66	152.88	156.083	76.0773	92.1364	86.3387	84.5171	75.4384	84.5146	132.29	110.754	136.441	129.053	155.715	128.971
"NOP10"	"NOP10"	147.686	169.168	160.63	332.627	260.445	318.757	212.804	218.415	181.883	123.503	100.446	87.6969	94.5137	104.007	92.4961	87.8202	74.3939	101.668	78.9964	123.718	100.851
"NOP14"	"NOP14"	15.0342	19.4806	19.1547	12.075	13.8193	7.28948	12.7705	14.2677	10.276	9.88185	12.5682	8.59291	10.858	10.1813	10.327	11.699	11.3826	14.2714	10.9236	15.1895	15.6555
"NOP14-AS1"	"NOP14-AS1"	1.92593	2.22523	2.26857	1.90669	1.93141	1.84564	1.72884	1.71578	1.69976	1.6172	0.814435	1.44906	1.54569	1.5729	2.12356	1.53115	2.14852	2.29119	2.2576	1.90311	1.97333
"NOP16"	"NOP16"	25.92	33.3387	34.1261	33.6223	21.2861	13.7746	31.8086	32.3791	21.5109	12.4985	17.4336	11.0914	14.9559	9.7377	13.5291	10.3836	7.94251	12.1354	9.68489	11.5283	11.8606
"NOP2"	"NOP2"	14.2293	20.0983	17.7384	13.8191	15.7151	9.13482	18.5977	20.7053	13.8948	12.7102	12.3695	9.03642	9.92978	7.49782	9.64141	10.8355	9.30806	13.8449	8.99541	11.9169	15.5336
"NOP56"	"NOP56"	61.0382	77.5452	73.5955	46.2455	36.2159	24.445	56.6162	61.545	35.8335	33.9953	34.3283	30.469	32.1895	34.5118	35.9053	40.9734	37.2527	41.659	39.8693	35.5497	45.9995
"NOP58"	"NOP58"	34.5069	41.8708	40.2078	23.7582	29.3449	23.6262	27.8794	30.4952	22.6066	21.6689	32.0369	21.4673	33.2096	24.9876	29.7426	26.4696	30.1022	39.6955	29.8542	32.1001	42.7321
"NOP9"	"NOP9"	9.87702	10.5774	9.588	3.77277	4.06024	3.65649	5.30901	5.43279	6.43833	15.4904	15.9763	17.8384	10.9049	9.35688	9.13305	9.30817	8.78517	10.2929	10.7971	9.12479	10.2487
"NOS1"	"NOS1"	0.0306085	0.0314823	0.0493421	0.0132687	0.0370664	0.0589059	0.016068	0.0491766	0.0547624	0.015883	0.205656	0.0134555	0.286675	0.135084	0.0678357	0.112732	17.2223	4.39571	20.5205	4.34856	4.43235
"NOS1AP"	"NOS1AP"	0.793197	0.609692	1.13724	0.304959	0.432925	0.486641	0.365533	0.372539	0.842525	1.07979	0.724511	0.950614	0.992713	1.14678	1.34028	0.715117	1.14915	1.16846	1.71893	1.02406	0.72872
"NOS2"	"NOS2"	0.0666967	0.0207855	0.0766516	0.0783758	0.117467	0.21047	0.289487	0.191388	0.594558	10.6694	12.5401	3.83336	11.8187	3.81274	62.9153	0.366776	0.341095	0.277288	0.139639	0.510061	0.429836
"NOS3"	"NOS3"	17.1713	10.7326	14.5882	15.1328	19.2317	15.4299	5.36596	5.44768	9.98416	3.92232	0.960189	1.97699	2.95572	1.26163	2.42952	1.84236	2.15005	2.90058	2.92859	2.79699	2.87789
"NOSIP"	"NOSIP"	38.5024	36.8604	47.8195	94.124	84.3725	77.1505	53.5206	47.9056	38.2983	35.0531	30.1693	37.5708	27.6635	28.9754	23.9553	21.1718	19.1914	18.059	20.2936	24.334	19.5738
"NOSTRIN"	"NOSTRIN"	8.3045	8.68463	19.0043	10.2959	19.5934	14.0621	12.7356	14.9695	17.8083	15.0506	15.69	9.33993	13.8105	16.2824	19.481	8.43107	9.19634	14.5699	9.98065	16.2021	9.80725
"NOTCH1"	"NOTCH1"	7.20405	7.73767	8.37815	4.78197	8.27773	4.59216	5.87175	5.1061	5.72611	7.47101	4.95785	6.5623	7.52356	4.92733	5.23693	6.84378	10.1828	7.30059	12.7556	5.81659	6.86285
"NOTCH2"	"NOTCH2"	15.6118	15.348	11.9436	5.11974	7.56549	6.76343	5.38525	6.0017	7.15539	4.92132	4.74311	4.94561	7.74651	6.22144	6.27643	9.19643	15.8854	11.4963	16.4375	7.62453	11.4091
"NOTCH2NL"	"NOTCH2NL"	4.85761	4.21334	3.27517	2.99911	4.0838	3.70216	1.87852	1.98347	2.64233	2.93348	2.9523	3.58904	4.58966	4.65378	2.74468	4.37667	5.91814	3.95319	5.92189	3.53203	4.56407
"NOTCH3"	"NOTCH3"	39.7689	36.288	32.8586	33.7481	31.9238	41.243	18.7943	16.4256	14.7422	8.46467	3.04461	4.98023	5.18727	3.6494	6.21657	7.31729	8.92289	6.88067	12.5461	4.5587	7.02705
"NOTCH4"	"NOTCH4"	0.147105	0.161082	0.23024	0.21685	0.227583	0.19973	0.22584	0.143067	0.113061	3.81987	1.8329	2.19645	2.49735	2.22621	2.54392	1.49373	1.95644	3.27858	2.79199	2.45448	3.01551
"NOTO"	"NOTO"	0	0	0	0	0	0	0	0	0	0.330419	0	0	0	0	0	0.00497351	0	0	0.0187009	0.0827988	0
"NOTUM"	"NOTUM"	0.237664	0.247955	0.563876	0.701169	1.10935	2.96559	2.20648	2.0385	3.25877	1.32854	0.392431	1.05443	0.172875	0.130597	0.428661	0.70324	0.198837	1.63902	0.150313	3.12281	1.94363
"NOV"	"NOV"	0.331981	0.555276	0.345551	0.750547	0.310538	1.52788	0.202301	0.319553	0.482939	2.99005	4.72961	2.02891	4.7304	2.68022	4.97688	0.297806	1.82946	0.522167	1.0974	0.782563	0.582281
"NOVA1"	"NOVA1"	2.68674	1.71085	2.23122	1.80931	3.09015	1.79641	1.69264	2.05318	0.795262	1.11713	1.15126	0.561681	2.96694	2.3384	1.1306	4.17569	6.31712	5.07425	5.34837	4.48093	6.01189
"NOVA2"	"NOVA2"	0.170709	0.182328	0.110025	0.0248801	0.2576	0.197026	0.0410747	0.0327045	0.0384426	0.436093	0.758773	0.376501	0.139126	0.63059	1.03233	0.557217	1.23953	1.13888	1.69704	1.04699	0.982955
"NOX1"	"NOX1"	0.421729	0.318281	0.881838	0.325399	0.17695	0.117705	1.13431	1.28627	4.28106	0.076052	0.289686	0	0.212771	4.26901	0.132017	3.05314	16.7635	0.989513	28.5655	0.447033	1.76201
"NOX3"	"NOX3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0593223	0	0.0126487	0.0224011	0
"NOX4"	"NOX4"	0.559498	1.10372	0.460247	0.256918	0.386591	0.601728	0.531838	0.512727	0.404554	0.112731	0.038557	0	0	0.0937511	0.309669	0.76087	1.01121	1.49664	0.861405	2.01705	1.49207
"NOX5"	"NOX5"	0.0112941	0.0705814	0.0557612	0.0354611	0.0284361	0.0132462	0.0763429	0.0497156	0.0701563	0	0.12498	0.0696309	0.643395	0.416556	0.114154	0.0188839	0.0940542	0.0978548	0.221589	0.1498	0.0727027
"NOXA1"	"NOXA1"	25.1489	23.3173	30.9898	34.1082	28.4931	37.4228	28.0167	26.2623	21.7569	17.5597	14.8878	8.19959	9.37425	14.5436	7.04356	16.4721	10.5786	7.26974	11.7493	12.4415	11.6736
"NOXO1"	"NOXO1"	0.711594	0.450961	0.303095	0.845979	0.414727	1.21739	1.32601	1.00397	1.69681	3.38432	2.68013	2.67624	2.06046	2.80162	1.11877	1.36279	0.500551	0.682231	0.411267	0.970348	0.889
"NOXRED1"	"NOXRED1"	0.18774	0.285361	0.464267	0.225174	0.450603	0.310382	0.284258	0.364323	0.545038	0.0995966	0.288251	0.0979076	0.422789	0.399226	0.0871263	0.443029	0.473478	0.481993	0.295822	0.286901	0.588213
"NPAP1"	"NPAP1"	0.185444	0.155432	0.203224	0.0797744	0.139747	0.125972	0.156409	0.153341	0.229403	0.0217	0.0198158	0	0	0	0	0.591236	1.26404	1.63165	0.881252	0.819767	1.3057
"NPAS1"	"NPAS1"	1.05729	0.7841	1.13438	3.58024	1.5552	1.57332	3.87149	3.55536	1.83603	0	0	0	0	0.0715846	0.0782307	0.202278	0.425374	0.154652	0.40498	0.156893	0.216801
"NPAS2"	"NPAS2"	10.7852	12.9227	13.5621	16.5559	15.9279	12.037	24.929	26.3184	23.6674	15.6287	16.1369	18.0577	9.87696	11.502	8.50053	7.15743	4.61717	7.36792	5.99876	7.83498	8.67299
"NPAS3"	"NPAS3"	0.215333	0.245854	0.210255	0.1517	0.236388	0.214474	0.337567	0.31095	0.296762	0.344811	0.24896	0.154703	0.427575	0.300225	0.325555	0.289898	0.730264	0.616278	0.726833	0.365687	0.553235
"NPAS4"	"NPAS4"	0.0945326	0.0805538	0.0297062	0.0301524	0	0	0.19757	0.15011	0.041517	0	0.151864	0.0548092	0.484042	0.0843887	0.370894	0.0558221	1.06913	0.578563	0.458426	0.119785	0.144834
"NPAT"	"NPAT"	3.43423	3.07652	2.72932	1.51609	2.20749	2.53638	2.77054	2.64858	3.37132	3.48669	4.70357	4.78071	4.8469	5.01621	4.8307	5.7989	6.36091	5.97249	5.24905	4.98625	6.20728
"NPB"	"NPB"	4.20961	4.50092	3.79018	4.61667	2.3727	2.48424	8.0974	6.22951	3.27175	3.82422	1.66726	2.21216	0	1.69574	1.05996	1.28561	1.09788	1.23578	1.06746	0.795992	1.08275
"NPBWR1"	"NPBWR1"	0	0.0354217	0.0391878	0	0	0.0467833	0.0532618	0	0.0410763	0	0	0	0	0	0	0	0.0232064	0	0	0	0
"NPBWR2"	"NPBWR2"	0	0	0.0384509	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022771	0	0	0	0
"NPC1"	"NPC1"	13.7292	11.3076	11.3587	13.138	20.8451	23.7603	10.5187	9.64237	14.1938	11.2539	7.31509	10.2523	8.15441	11.5019	13.4176	12.4175	6.48316	8.85148	6.44532	10.2652	9.45894
"NPC1L1"	"NPC1L1"	25.9505	20.6845	23.3256	16.0001	11.8215	10.1014	14.382	13.1597	13.3549	79.9834	40.9039	93.0831	46.7026	0.765857	69.1018	40.3958	5.78939	30.4637	4.48499	23.6077	20.7976
"NPC2"	"NPC2"	227.616	194.114	227.594	447.885	441.916	557.793	270.497	249.823	245.385	194.801	163.71	167.083	182.165	161.175	173.058	251.286	119.217	245.429	130.183	314.268	235.216
"NPDC1"	"NPDC1"	29.0005	25.0295	20.1366	27.6985	37.5527	27.0549	26.2195	21.614	24.0946	39.6456	17.0137	23.8089	25.6218	29.5318	17.7397	16.2674	22.0731	8.18134	26.4463	11.2035	11.0628
"NPEPL1"	"NPEPL1"	17.613	17.5672	20.3364	22.2448	22.5053	22.6016	20.7218	19.0656	21.1224	22.063	20.7503	17.5583	11.9887	13.5845	13.5277	15.187	12.2473	10.5897	16.1025	11.1716	10.454
"NPEPPS"	"NPEPPS"	47.8831	39.9254	41.9819	35.1197	56.0105	68.2926	44.1982	44.7005	57.5044	26.7158	30.237	30.6346	28.6307	30.3332	32.5269	26.0306	23.3995	23.9746	22.874	23.3317	25.4553
"NPFF"	"NPFF"	1.2704	2.14518	2.05683	2.40933	2.72773	3.02215	6.68597	7.68932	4.22899	2.54895	1.34053	2.30526	2.56352	1.81438	1.88238	3.35813	2.99092	2.7032	2.51105	2.06472	2.68852
"NPFFR1"	"NPFFR1"	0	0	0	0	0	0	0.0357598	0	0	0	0	0.225004	0	0	0	0.0947867	0.147818	0.102706	0.273154	0.0558185	0.0449939
"NPFFR2"	"NPFFR2"	0.708236	0.383144	0.170422	0.290852	1.09495	0.960196	0.179772	0.157494	0.185127	0	0.182528	0.190849	0.188167	0	0.0828417	0.269394	0.208697	0.14735	0.308153	0.176976	0.129103
"NPHP1"	"NPHP1"	1.24511	1.20888	1.87431	0.677986	1.28881	0.937163	0.495953	0.650502	0.716633	0.401589	0.596008	0.695671	1.0989	0.385987	1.02753	0.700284	1.3815	0.935828	1.27743	0.771466	1.21354
"NPHP3"	"NPHP3"	4.95912	3.86834	3.84233	2.48832	3.70756	3.34743	3.44048	3.61325	4.83847	3.40212	3.02729	3.87078	5.11853	5.95628	4.66157	5.62808	6.56932	5.74528	4.86198	3.97149	5.67315
"NPHP3-ACAD11"	"NPHP3-ACAD11"	1.42857	1.02438	0.691103	0.236232	0.523613	0.250981	1.01485	1.12695	1.34396	4.47789	5.35265	5.77923	4.11001	4.96434	5.29569	3.75958	2.71423	5.63122	1.83801	4.65506	5.04166
"NPHP3-AS1"	"NPHP3-AS1"	0	0	0.0134246	0	0	0	0	0	0.0140664	0	0	0	0	0	0	0.00887315	0.0875676	0.112005	0.132379	0.0901687	0.0872321
"NPHP4"	"NPHP4"	3.07071	3.29843	3.58522	1.85498	1.83632	1.51063	2.09605	2.0288	1.6144	2.6339	1.82078	2.47581	2.46618	1.30244	2.12269	3.6953	2.1577	2.78038	2.50813	2.33266	2.90356
"NPHS1"	"NPHS1"	0.218921	0.161073	0.190927	0.27944	0.43076	0.311509	0.211561	0.192958	0.426941	0.115367	0.0323777	0.0708876	0.0476867	0.0810622	0.0893183	0.348065	0.33232	0.732061	0.536263	0.842777	0.455193
