"","gene_short_name","ES_0","ES_2","ES_1","DefEnd_2","DefEnd_0","DefEnd_1","Lung_A_0","Lung_A_4","Lung_A_3","Lung_A_1","Lung_A_2","HLO_2","HLO_3","HLO_4","HLO_0","HLO_5","HLO_1","Lung_F_5","Lung_F_2","Lung_F_4","Lung_F_1","Lung_F_0","Lung_F_3","anova.p","anova.p.adj","Mean.DefEnd","Mean.ES","log2.DefEnd.ovr.ES","ttest.DefEnd.v.ES.p","ttest.DefEnd.v.ES.p.adj","Mean.Lung_A","Mean.Lung_F","log2.Lung_A.ovr.Lung_F","ttest.Lung_A.v.Lung_F.p","ttest.Lung_A.v.Lung_F.p.adj"
"AADACL3","AADACL3",21.4932,20.8812,27.2216,7.29891,0,19.9855,0,0,0,2.79906,0,0,0,0,0,0,0,1.96008,2.61561,2.47889,1.06596,2.45368,4.03148,3.88420366895403e-07,7.61303919114989e-05,9.09480333333333,23.1986666666667,-1.35092754307438,0.0845165868767754,0.209686721871493,0.559812,2.43428333333333,-2.12048277967541,0.0205009136487478,0.0405876674258036
"AADACL4","AADACL4",2.14932,0,3.55064,0,0,0,0,0,0,0,0,0,0.834147,0.997947,0.932524,0.999648,0.55764,0.980038,0.326951,0.413149,0.355321,1.22684,1.20945,0.00010536900376408,0.0206523247377597,0,1.89998666666667,-Inf,0.13957930817515,0.294167144111069,0,0.751958166666667,-Inf,0.00394606726325768,0.0108933687830776
"ACTL8","ACTL8",5.37331,18.0337,7.10128,1.21648,0,1.53735,0,0,0,0,0,0,0.834147,0,0,0,0.55764,0,0,0,0,0,0,0.0595622879521333,1,0.917943333333333,10.16943,-3.46968991204909,0.0813179226578731,0.204337344114656,0,0,NA,NA,NA
"ACTRT2","ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"AGRN","AGRN",519.062,532.47,530.229,1259.06,496.49,412.009,2464.08,2815.43,5324.86,3217.52,3764.97,7072.06,5666.36,5961.73,6181.7,7502.36,8990.83,4319.03,4843.45,5947.69,6565.63,8284.87,6779.34,1,1,722.519666666667,527.253666666667,0.454539634719487,0.508704434294277,0.778953665013112,3517.372,6123.335,-0.799819689709783,0.00912926794729967,0.0208062385775667
"AGTRAP","AGTRAP",130.034,132.88,121.905,226.266,70.6119,59.9565,571.954,930.785,736.07,561.211,698.388,243.104,232.727,396.185,386.997,429.849,282.723,203.848,196.498,187.57,219.944,188.934,204.799,5.58089347101941e-08,1.0938551203198e-05,118.9448,128.273,-0.108925329821654,0.870884681695545,1,699.6816,200.2655,1.80478464503331,1.80820046790585e-05,0.000141762916683819
"AJAP1","AJAP1",105.317,108.202,105.336,373.461,377.333,355.127,11.9907,30.7698,27.952,15.3948,11.4961,160.289,117.615,53.8891,73.6694,96.9659,162.273,4.90019,10.7894,3.30519,3.19789,6.13421,4.03148,0.0246729276823487,1,368.640333333333,106.285,1.79427592270059,2.88279635477219e-06,0.000282514042767675,19.52068,5.39306,1.85582732022122,0.00569209937320422,0.0139456434643503
"ALPL","ALPL",2121.38,1992.25,2090.14,2085.05,1370.31,1342.1,1935.29,3538.52,3927.26,2778.07,2373.94,113.538,207.703,147.696,170.652,203.928,208,20.5808,40.8689,24.7889,30.2023,33.9426,20.1574,0.0203364895173516,1,1599.15333333333,2067.92333333333,-0.370874422909864,0.129609780350999,0.291994447687309,2910.616,28.4234833333333,6.67809733633612,1.11071975580273e-05,0.000114579511651229
"ANGPTL7","ANGPTL7",1.07466,0.949144,0,3.64945,4.41325,1.53735,37.171,92.3093,60.5627,33.5887,132.205,2.00361,6.67317,7.98357,6.52767,4.99824,5.01876,1.47006,1.3078,0.826298,1.06596,2.86263,2.82204,1,1,3.20001666666667,0.674601333333333,2.24597234420615,0.0523635073494363,0.146796943706094,71.16734,1.725798,5.36587979785327,0.00246705287501377,0.00755534942972968
"APITD1,APITD1-CORT,CORT","APITD1,APITD1-CORT,CORT",210.634,267.659,228.425,228.699,275.828,298.245,183.457,130.771,186.347,282.705,250.04,260.469,276.103,327.326,238.726,324.886,262.091,146.026,167.072,167.739,146.392,165.215,151.987,1,1,267.590666666667,235.572666666667,0.183855642916436,0.293956196950505,0.519057789209901,206.664,157.405166666667,0.392804202598547,0.0767740870761884,0.128613000572076
"ARHGEF10L","ARHGEF10L",278.338,251.523,259.197,150.844,33.0993,47.6577,962.85,1092.33,1248.52,708.162,948.428,715.288,578.898,772.411,779.59,749.736,784.599,410.636,428.633,462.727,545.063,527.951,460.395,4.1363385436505e-09,8.10722354555497e-07,77.2003333333333,263.019333333333,-1.76848986740183,0.00803400837566926,0.0374920390864565,992.058,472.5675,1.06990405536239,0.00016299051167774,0.000819131802277873
"ARHGEF16","ARHGEF16",110.69,120.541,108.886,507.274,196.389,150.66,130.698,200.003,330.766,260.312,146.575,58.1046,75.0732,54.8871,55.9514,51.9817,61.3404,169.547,162.495,176.002,202.178,199.975,176.982,1.84826998015188e-06,0.000362260916109769,284.774333333333,113.372333333333,1.32875050521807,0.200957271133787,0.393876251422223,213.6708,181.1965,0.237834675973189,0.36772972145097,0.493664557564316
"ATAD3A","ATAD3A",116.064,143.321,118.355,116.783,50.7523,46.1204,148.684,261.543,465.867,207.13,267.284,327.256,276.937,330.32,352.494,309.891,357.447,128.385,112.144,155.344,163.448,210.608,160.05,1,1,71.2185666666667,125.913333333333,-0.822105756709671,0.0887708390487235,0.215831182193968,270.1016,154.9965,0.801266547813369,0.0489796923247957,0.0897198102398128
"ATAD3B","ATAD3B",84.8983,104.406,89.9496,96.1023,61.7854,38.4337,179.86,300.005,414.622,271.509,296.024,256.462,209.371,228.53,212.615,186.934,251.496,125.445,84.6803,100.395,117.256,143.95,118.929,1,1,65.4404666666667,93.0846333333333,-0.508359986974078,0.194130987205356,0.384340136285351,292.404,115.109216666667,1.34495969398691,0.000687009332216283,0.00249358942804429
"ATAD3C","ATAD3C",88.1223,135.728,99.4179,69.3396,81.6451,67.6433,100.722,123.079,121.125,86.7708,146.575,38.7364,42.5415,38.9199,24.2456,35.9873,50.7452,163.176,137.973,92.1322,144.26,135.362,163.275,1,1,72.876,107.756066666667,-0.564253415198809,0.0809847282012399,0.204337344114656,115.65436,139.363033333333,-0.269028276162412,0.148013311735434,0.219777341667766
"B3GALT6","B3GALT6",188.066,238.235,197.652,327.234,392.779,336.679,287.776,384.622,610.286,281.305,454.096,763.374,573.059,804.345,942.782,864.696,803.002,288.621,296.218,411.91,426.386,451.887,369.687,5.51225691449204e-07,0.000108040235524044,352.230666666667,207.984333333333,0.760045661923886,0.00487581270063714,0.025828629441213,403.617,374.118166666667,0.1094929179067,0.651054880246256,0.764112314540516
"C1orf130","C1orf130",44.0612,25.6269,36.69,37.711,55.1656,44.5831,382.502,292.313,326.107,299.499,356.379,45.4151,44.2098,31.9343,11.1903,25.9909,35.689,224.429,258.945,157.41,185.122,259.273,249.952,1,1,45.8199,35.4593666666667,0.369807541273343,0.233046667045891,0.443467444087326,331.36,222.521833333333,0.574452561709427,0.00167030069581573,0.00519649105364895
"C1orf144","C1orf144",2327.72,2477.27,2175.36,2695.73,2440.53,2387.5,2314.2,3038.51,2911.67,2593.33,3236.15,2647.43,2512.45,2669.51,2921.6,2806.01,2473.69,1752.8,2134.99,2354.54,2177.41,2246.35,2110.48,1,1,2507.92,2326.78333333333,0.108154453083418,0.233039451041538,0.443467444087326,2818.772,2129.42833333333,0.40460061209151,0.00332602312039022,0.00972985868054452
"C1orf151-NBL1,MINOS1,NBL1","C1orf151-NBL1,MINOS1,NBL1",1518.5,1647.71,1485.35,1684.83,1844.74,1794.08,6375.43,6477.03,6098.2,6408.44,6518.29,2081.08,2601.7,2244.38,2806.9,2380.16,2073.31,2053.18,1727.61,1976.51,1859.75,1857.03,2040.74,1,1,1774.55,1550.52,0.194701089326643,0.0306439951955521,0.092403431666588,6375.478,1919.13666666667,1.73207605853363,2.22293394128354e-12,4.35695052491573e-10
"C1orf158","C1orf158",1.07466,0,0,0,0,1.53735,39.5692,0,18.6347,148.35,31.6143,25.379,28.361,88.8173,37.301,82.9708,46.2841,15.6806,20.271,5.37094,2.13193,18.8116,25.8015,2.62606103251082e-05,0.0051470796237212,0.51245,0.35822,0.516565359453978,0.817303763009449,1,47.63364,14.6779283333333,1.69833244051338,0.200813617664407,0.291551622683139
"C1orf187","C1orf187",88.1223,106.304,100.601,65.6902,33.0993,18.4482,2.39813,0,18.6347,1.39953,0,254.458,193.522,147.696,145.474,147.948,404.289,25.481,41.1958,36.7703,34.4662,37.2142,32.2519,3.41884665429584e-05,0.00670093944241985,39.0792333333333,98.3424333333333,-1.33141188847223,0.0166507472954037,0.0615763484886628,4.486472,34.5632333333333,-2.94558487306782,3.81595256652053e-05,0.000241266678399362
"C1orf213","C1orf213",5.37331,2.84743,11.8355,58.3913,46.3391,44.5831,125.902,123.079,32.6107,100.766,51.7324,280.505,261.922,268.448,203.29,277.902,247.592,186.207,140.262,149.147,220.655,132.09,148.762,1,1,49.7711666666667,6.68541333333333,2.89622154060639,0.00107433558464067,0.0110826197152406,86.81802,162.853833333333,-0.90751125349003,0.00905353319331043,0.0208062385775667
"C1orf64","C1orf64",0,0,1.18355,2.43297,0,0,0,0,0,0,0,0.667869,3.33659,1.99589,3.7301,2.99895,1.67292,0.490019,0.653902,0.413149,0.355321,0.408947,0,1,1,0.81099,0.394516666666667,1.03959787593272,0.668226598821091,0.949075459195173,0,0.386889666666667,-Inf,0.0032830393982907,0.00972985868054452
"C1QA","C1QA",0,0,0,0,0,0,6128.43,5230.86,7514.43,3570.2,6808.56,0,0,0,0,0,0,168.567,188.651,201.204,125.073,155.809,200.365,1,1,0,0,NA,NA,NA,5850.496,173.278166666667,5.07739715120138,7.14626616734832e-06,0.000100047726342876
"C1QB","C1QB",0,0,0,0,0,0,8073.31,6407.8,10565.9,4856.37,7297.15,0,0,0.997947,0,0,0.55764,100.944,137.973,145.428,131.824,130.863,146.343,1,1,0,0,NA,NA,NA,7440.106,132.229166666667,5.81421083381347,1.2972416359186e-05,0.000115572436654566
"C1QC","C1QC",0,0,0,0,0,0,4888.59,4307.77,7169.69,3749.34,5975.1,0,0,0,0,0,0,193.068,238.674,233.429,227.05,207.336,250.355,2.64691933633219e-10,5.1879618992111e-08,0,0,NA,NA,NA,5218.098,224.985333333333,4.53562117821531,8.19030643149473e-06,0.000107020004038198
"CA6","CA6",0,0,0,0,0,0,2.39813,0,0,0,0,0,0,0,0,0,0.55764,0,0,0,0.710643,0.408947,0,0.668237905841957,1,0,0,NA,NA,NA,0.479626,0.186598333333333,1.36197376746525,0.534946885188608,0.643249015318817
"CALML6","CALML6",17.1946,11.3897,10.6519,8.51539,6.61987,6.14939,7.1944,0,0,4.19859,2.87402,39.4043,15.8488,28.9405,52.2213,28.9898,12.8257,8.33033,3.59646,6.19724,7.46175,6.13421,3.62834,1,1,7.09488333333333,13.0787333333333,-0.882371957301278,0.0524274798950334,0.146796943706094,2.853402,5.89138833333333,-1.04592463743322,0.0749370686192622,0.127718829994569
"CAMTA1","CAMTA1",980.092,1018.43,998.914,940.343,1233.5,1085.37,708.648,723.089,600.968,534.62,603.545,1194.82,1018.49,898.152,955.837,1069.62,1381.27,319.983,324.336,303.665,307.353,366.008,300.346,1,1,1086.40433333333,999.145333333333,0.120794689748347,0.364402312466575,0.600693355695177,634.174,320.281833333333,0.985536761232843,6.90676645696193e-06,0.000100047726342876
"CCDC27","CCDC27",2.14932,0,0,1.21648,0,0,0,0,0,0,2.87402,2.67148,6.67317,3.99179,3.7301,0.999648,2.23056,4.41017,2.94256,4.13149,3.55321,1.22684,3.62834,6.25095633901507e-05,0.0122518744244695,0.405493333333333,0.71644,-0.82116769209857,0.724830413326173,0.99347385323028,0.574804,3.315435,-2.52805616433747,0.0045726629984394,0.0120493031105033
"CDA","CDA",27.9412,30.3726,18.9368,414.821,178.736,167.571,28.7776,69.2319,55.904,30.7896,34.4883,2.67148,0.834147,2.99384,3.7301,1.9993,0,9.80038,3.59646,2.47889,3.90853,3.27158,2.82204,6.24220094162491e-06,0.00122347138455848,253.709333333333,25.7502,3.30052105076557,0.0475888939238041,0.137167988368612,43.83828,4.31298,3.34543426391602,0.000429951842718773,0.00168541122345759
"CDC42","CDC42",7289.43,7899.73,7377.05,11863.2,18142.9,17404.3,6582.87,6192.41,6727.12,6597.38,8455.38,6091.63,6216.06,6017.62,6165.85,6024.88,5677.33,5055.53,5751.07,5967.53,4717.25,5398.52,5555.79,0.144116168876822,1,15803.4666666667,7522.07,1.07103942716571,0.0141464713609065,0.0543668311125035,6911.032,5407.615,0.35390871794619,0.00543073186207272,0.0136464544226443
"CELA2A","CELA2A",0,0,0,0,0,0,13.1897,0,0,15.3948,2.87402,0,0,0.997947,0,0,0,0,0.326951,0,0.355321,0.817895,0.403148,0.132582792079416,1,0,0,NA,NA,NA,6.291704,0.317219166666667,4.30989895148921,0.0780897621486309,0.129708418484167
"CELA2B","CELA2B",0,1.89829,0,0,0,0,3.5972,15.3849,9.31734,19.5934,22.9922,2.67148,2.50244,4.98973,5.59514,0,3.90348,4.41017,2.94256,2.89204,2.48725,3.27158,0.806297,1,1,0,0.632763333333333,-Inf,0.373900966300059,0.600693355695177,14.177008,2.8016495,2.33920470577586,0.00614363214940337,0.0146847792839398
"CELA3A","CELA3A",0,1.89829,0,1.21648,0,0,13.1897,0,0,5.59812,0,4.67508,0.834147,4.98973,4.66262,0,0,0,0,0,0,0,0,0.0153525869419372,1,0.405493333333333,0.632763333333333,-0.641987807079823,0.777415875877817,1,3.757564,0,Inf,0.143188303760131,0.21588390413066
"CELA3B","CELA3B",0,0,0,1.21648,0,0,5.99533,0,0,11.1962,0,0,0,0,0,0,0,0,0.326951,0,0,0,0,0.148544599315188,1,0.405493333333333,0,Inf,0.373900966300059,0.600693355695177,3.438306,0.0544918333333333,5.97951410625845,0.131759806343741,0.200193194134676
"CLCN6,NPPA-AS1","CLCN6,NPPA-AS1",809.221,829.552,821.382,787.065,586.962,662.596,1248.23,1023.09,1034.22,1115.42,850.711,1520.74,1338.81,1249.43,985.678,1067.62,1606.56,763.94,732.044,561.056,619.68,639.185,655.519,1,1,678.874333333333,820.051666666667,-0.27257026698589,0.073731250298655,0.195130782445914,1054.3342,661.904,0.671638346635105,0.000256499335930674,0.00111719710760916
"CLCNKA","CLCNKA",8.5973,5.69486,7.10128,35.2781,13.2397,10.7614,16.7869,0,0,61.5793,0,10.018,12.5122,8.98152,12.1228,13.9951,6.13404,5.88023,8.17378,6.61039,12.0809,8.17895,11.6913,0.422943318782611,1,19.7597333333333,7.13114666666667,1.47035749581883,0.182383982005272,0.372367296594096,15.67324,8.76925833333333,0.837776711204825,0.539675337154828,0.644977841965527
"CLCNKB","CLCNKB",21.4932,18.9829,16.5697,51.0923,13.2397,33.8216,7.1944,15.3849,23.2933,32.1892,40.2363,10.6859,23.3561,8.98152,6.52767,2.99895,11.7104,48.5119,37.9263,55.362,39.0853,47.029,54.425,1,1,32.7178666666667,19.0152666666667,0.782920510761576,0.28209313828356,0.51283446230018,23.65962,47.0565833333333,-0.991969671141752,0.00461070272085584,0.0120493031105033
"CLIC4","CLIC4",18494.9,18546.3,19773.5,14816.8,21485.9,20927.9,10206.4,13631,11148.2,7757.59,11447.2,7428.04,8904.52,7703.15,8871.1,7748.27,6966.04,7550.22,8186.86,8303.47,7226.88,8524.1,7649.74,1.11236398686701e-05,0.00218023341425935,19076.8666666667,18938.2333333333,0.0105224770758051,0.952271069897524,1,10838.078,7906.87833333333,0.454928804589995,0.00930866584173757,0.0209712471836846
"CNKSR1","CNKSR1",155.826,132.88,145.576,358.863,158.877,159.884,531.186,400.007,456.55,621.391,419.607,62.7797,43.3756,27.9425,36.3684,34.9877,68.5897,261.18,231.481,205.748,224.918,281.765,294.701,1.81033981035972e-08,3.54826602830504e-06,225.874666666667,144.760666666667,0.64185281515641,0.291581097175828,0.519057789209901,485.7482,249.9655,0.958479660502601,0.000227033636258573,0.00103485099317861
"CROCC","CROCC",152.602,149.965,159.779,150.844,59.5788,63.0312,411.28,361.545,978.321,750.148,422.481,880.251,910.054,655.651,624.791,652.77,1054.5,723.758,648.344,727.142,979.265,1024.82,876.848,1,1,91.1513333333333,154.115333333333,-0.757674741631239,0.103847858665153,0.248221710955732,584.755,830.0295,-0.505330319535232,0.0888032987407807,0.145045387943275
"CTRC","CTRC",0,0,0,0,0,0,14.3888,0,4.65867,11.1962,0,4.00721,0.834147,0.997947,1.86505,0.999648,0.55764,0,0,0,0.710643,0.408947,0.403148,0.0791674435612263,1,0,0,NA,NA,NA,6.048734,0.253789666666667,4.57492798338962,0.0561015807048255,0.100879906588494
"DDI2,RSC1A1","DDI2,RSC1A1",931.732,814.366,1104.25,841.807,915.749,1136.1,569.556,392.314,475.184,412.861,350.631,332.599,271.098,372.234,511.023,315.889,272.686,495.899,474.733,506.934,480.039,465.791,491.035,0.540690708174668,1,964.552,950.116,0.0217553542118474,0.911559320548722,1,440.1092,485.7385,-0.142318309986247,0.225289301780593,0.32231170181749
"DDX11L1","DDX11L1",0,0,0,0,0,0,1.19907,0,0,0,0,0,0,0,0,0.999648,0,0,0,0,0,0,0,0.344722849946733,1,0,0,NA,NA,NA,0.239814,0,Inf,0.296665036924099,0.412385441398039
"DFFB","DFFB",271.89,298.98,261.564,200.72,191.976,170.645,172.665,215.388,149.077,132.955,140.827,224.404,189.351,152.686,133.351,131.954,230.863,289.601,251.752,226.819,234.512,267.452,258.418,9.57373060421713e-05,0.0187645119842656,187.780333333333,277.478,-0.563327416975514,0.00328994874571881,0.0214943318053629,162.1824,254.759,-0.651515847021927,0.000391310939853458,0.00156524375941383
"DNAJC16","DNAJC16",735.069,734.637,752.736,1026.71,1094.49,1216.04,714.643,646.165,512.454,715.159,540.316,586.389,621.439,673.614,782.388,677.762,591.098,721.308,678.751,663.104,639.578,762.687,726.877,1,1,1112.41333333333,740.814,0.586509673766798,0.00262424875829129,0.0183697413080391,625.7474,698.7175,-0.159128882817255,0.129777173471179,0.200193194134676
"EFHD2","EFHD2",170.871,150.914,157.412,642.304,414.845,421.233,1037.19,1446.18,3023.48,1388.33,2083.67,851.533,554.708,1316.29,1229.07,990.652,413.769,229.329,230.827,308.622,308.774,405.676,376.137,1.20167641406613e-09,2.35528577156962e-07,492.794,159.732333333333,1.62532831516525,0.0113310615003331,0.0453242460013324,1795.77,309.894166666667,2.53475507978135,0.00116126276585972,0.00379345836847509
"ENO1-AS1","ENO1-AS1",5.37331,0.949144,2.36709,1.21648,0,4.61204,2.39813,0,0,6.99765,5.74805,10.018,5.83903,3.99179,5.59514,10.9961,10.5952,1.96008,1.63476,2.47889,2.13193,1.22684,2.41889,1,1,1.94284,2.89651466666667,-0.576150875609477,0.6418893891297,0.928991045743378,3.028766,1.97523166666667,0.616708250107319,0.446748312059087,0.561299161305007
"EPHA8","EPHA8",22.5679,21.8303,20.1203,14.5978,4.41325,3.07469,1.19907,0,4.65867,0,0,93.5016,42.5415,13.9713,44.7612,29.9895,102.606,1.96008,0.653902,0.413149,3.19789,2.45368,1.61259,3.94682223299014e-06,0.000773577157666067,7.36191333333333,21.5061666666667,-1.5465977256423,0.018900550145909,0.0673546877926939,1.171548,1.71521516666667,-0.549973503197086,0.579133073928627,0.683795677650668
"EPHB2","EPHB2",387.953,439.454,453.299,485.377,357.473,282.872,100.722,246.158,130.443,149.75,296.024,2211.98,1548.18,1106.72,1266.37,1355.52,2305.28,493.449,582.627,748.626,676.887,720.974,672.451,7.04820093257471e-07,0.000138144738278464,375.240666666667,426.902,-0.186088733261192,0.454138414795033,0.712089034398611,184.6194,649.169,-1.81403994714129,1.2935693807692e-05,0.000115572436654566
"ESPN","ESPN",32.2399,43.6606,33.1393,14.5978,11.0331,6.14939,33.5738,0,32.6107,81.1727,17.2441,405.396,221.883,361.257,309.598,378.867,313.394,14.7006,9.48158,18.5917,17.0554,17.5847,18.1417,4.56477099143889e-11,8.94695114322023e-09,10.59343,36.3466,-1.77865062640582,0.00428232405275379,0.0233148753983262,32.92026,15.9259466666667,1.04759659862925,0.200623229245957,0.291551622683139
"EXTL1","EXTL1",8.5973,6.64401,11.8355,17.0308,2.20662,6.14939,5.99533,15.3849,13.976,9.7967,2.87402,86.1551,76.7415,175.639,206.088,140.95,56.3216,10.2904,13.078,14.8734,18.832,16.7668,12.0945,1,1,8.46227,9.02560333333333,-0.0929786573350103,0.910074882867064,1,9.60539,14.3225166666667,-0.576368919800025,0.0979687027890296,0.156112729647559
"FAM110D","FAM110D",6.44797,3.79658,8.28483,10.9484,8.82649,9.22408,49.1617,30.7698,130.443,103.565,149.449,8.6823,6.67317,5.98768,8.39272,6.99754,5.5764,20.0908,27.4639,37.5966,27.3597,42.5305,24.1889,1,1,9.66632333333333,6.17646,0.646187049726264,0.0746673912420588,0.195130782445914,92.6777,29.8717333333333,1.6334412872981,0.0152823574956941,0.0318653411612345
"FAM213B","FAM213B",413.745,366.37,305.355,371.028,311.134,275.185,527.589,815.399,545.064,502.431,497.206,697.255,705.688,677.606,564.177,700.754,806.905,699.257,654.229,901.904,814.752,1030.14,884.508,1,1,319.115666666667,361.823333333333,-0.181206009721084,0.366924686945022,0.600693355695177,577.5378,830.798333333333,-0.524582947604749,0.0136715820751703,0.0290935650936287
"FAM43B","FAM43B",9.67196,8.5423,10.6519,1.21648,2.20662,0,3.5972,0,0,4.19859,11.4961,124.224,100.932,144.702,191.167,146.948,134.391,13.2305,11.1163,13.2208,17.4107,17.5847,8.46612,5.14683524600210e-11,1.00877970821641e-08,1.14103333333333,9.62205333333333,-3.07600385793942,0.000655183428307777,0.00901666793299114,3.858378,13.5048533333333,-1.80741157756318,0.0037112744934445,0.0103915685816446
"FAM54B","FAM54B",630.827,585.622,566.919,632.572,635.507,714.866,1207.46,1100.02,1048.2,1028.65,1118,1488.68,1381.35,1647.61,1731.7,1587.44,1428.12,995.719,889.634,836.627,915.663,901.729,952.64,1,1,660.981666666667,594.456,0.153040227344229,0.113719919188033,0.26534647810541,1100.466,915.335333333333,0.26574229536499,0.000807461881083944,0.00276066454291927
"FBLIM1","FBLIM1",1115.5,1244.33,1112.53,1750.52,1299.7,1129.95,823.758,1069.25,861.854,656.379,1005.91,983.771,1214.52,1532.85,1558.25,1783.37,1266.96,1480.35,1292.76,1741.84,1682.8,1761.75,1888.75,1,1,1393.39,1157.45333333333,0.267645087090019,0.282582254736834,0.51283446230018,883.4302,1641.375,-0.893716827934696,0.000119621182505135,0.000651270882527955
"FBXO44","FBXO44",257.919,276.201,216.589,227.483,123.571,119.913,490.418,530.778,549.723,555.613,284.528,719.963,642.293,714.53,552.054,754.735,858.766,279.311,211.21,199.964,252.989,254.365,240.68,1,1,156.989,250.236333333333,-0.672627803337994,0.0772267647809023,0.19916376180338,482.212,239.753166666667,1.00811768278862,0.000658312237175529,0.00243451317898875
"FBXO6","FBXO6",21.4932,18.0337,20.1203,58.3913,17.653,24.5975,279.382,376.929,344.742,249.116,321.891,107.527,123.454,124.743,119.363,157.944,118.22,106.824,74.2179,85.935,71.4196,79.7448,76.5982,1,1,33.5472666666667,19.8824,0.754703309831208,0.339906222680704,0.584400172328228,314.412,82.4565833333333,1.93094969310094,1.80330765047104e-06,4.93513654885177e-05
"FHAD1","FHAD1",46.2105,47.4572,49.709,31.6286,13.2397,15.3735,237.415,61.5395,125.784,629.788,80.4727,27.3826,44.2098,56.883,30.7733,49.9824,52.9758,78.4031,95.4697,40.0755,42.9939,89.9684,101.593,0.0747849914350989,1,20.0806,47.7922333333333,-1.2509738093052,0.0093096267573926,0.0424345777778826,226.99984,74.7506,1.6025342161005,0.146290221016787,0.218876971902978
"GABRD","GABRD",3.22399,1.89829,1.18355,0,0,0,17.986,23.0773,37.2694,15.3948,20.1182,10.6859,6.67317,5.98768,1.86505,0.999648,8.3646,90.1635,90.5655,107.006,122.231,137.815,106.431,1,1,0,2.10194333333333,-Inf,0.0245305224536691,0.0801330400153189,22.76914,109.035333333333,-2.25964401541531,5.2681268637536e-06,0.000100047726342876
"GLTPD1","GLTPD1",36.5385,37.9658,31.9558,41.3605,26.4795,21.5229,193.05,253.85,535.747,221.126,321.891,424.765,333.659,452.07,497.035,442.844,439.978,187.187,186.689,248.303,257.253,292.397,214.072,1,1,29.7876333333333,35.4867,-0.252564916572577,0.412084979533159,0.651360128939509,305.1328,230.9835,0.40164747125711,0.238429144075873,0.338638494484573
"GRHL3","GRHL3",24.7172,23.7286,29.5887,10.9484,4.41325,10.7614,7.1944,0,4.65867,9.7967,0,128.231,251.912,190.608,161.327,359.873,489.608,4.41017,6.21207,5.78409,5.32982,2.86263,5.24093,1,1,8.70768333333333,26.0115,-1.57878874924917,0.00352740208356506,0.02230228414125,4.329954,4.973285,-0.199847410543214,0.734281980111164,0.856662310129692
"H6PD","H6PD",514.763,455.589,572.837,1426.94,849.55,853.227,3751.88,4792.39,3279.7,4237.77,3109.69,1801.91,2284.73,1912.07,2457.2,2346.17,2069.96,3736.4,3807.02,4744.19,4554.86,4118.1,4069.38,1,1,1043.239,514.396333333333,1.02011744463754,0.0532848269838935,0.147096142096382,3834.286,4171.65833333333,-0.121663051386602,0.33819110789879,0.46031567464002
"HES3","HES3",63.4051,68.3384,48.5254,1.21648,0,0,0,0,0,0,0,2.67148,4.17073,0,0.932524,0,1.11528,0,0,0.413149,0,0,0,2.54330692532918e-14,4.9848815736452e-12,0.405493333333333,60.0896333333333,-7.21129411289134,0.000562109086326024,0.00901666793299114,0,0.0688581666666667,-Inf,0.389283142476211,0.498689515851879
"HTR6","HTR6",2.14932,0,0,0,0,0,0,0,0,0,0,2.00361,2.50244,0.997947,1.86505,14.9947,0,0.490019,0,0,0.710643,1.22684,0.403148,0.228310824240574,1,0,0.71644,-Inf,0.373900966300059,0.600693355695177,0,0.471775,-Inf,0.0508496758619245,0.0922827450827518
