"","gene_short_name","ES_0","ES_2","ES_1","DefEnd_2","DefEnd_0","DefEnd_1","Lung_A_0","Lung_A_4","Lung_A_3","Lung_A_1","Lung_A_2","HLO_2","HLO_3","HLO_4","HLO_0","HLO_5","HLO_1","Lung_F_5","Lung_F_2","Lung_F_4","Lung_F_1","Lung_F_0","Lung_F_3","anova.p","anova.p.adj","Mean.DefEnd","Mean.ES","log2.DefEnd.ovr.ES","ttest.DefEnd.v.ES.p","ttest.DefEnd.v.ES.p.adj","Mean.Lung_A","Mean.Lung_F","log2.Lung_A.ovr.Lung_F","ttest.Lung_A.v.Lung_F.p","ttest.Lung_A.v.Lung_F.p.adj"
"MIR3115","MIR3115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"MIR3675","MIR3675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"MIR378F","MIR378F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"MIR4251","MIR4251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"MIR429","MIR429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96008,0.326951,0.826298,1.77661,1.63579,2.82204,4.7733637816292e-05,0.00935579301199324,0,0,NA,NA,NA,0,1.5579615,-Inf,0.00347608076617257,0.00987408449521483
"MIR4417","MIR4417",0,0,0,0,0,0,0,0,0,0,0,0,0,0.997947,0,0,0,0,0,0,0,0,0,0.624289615847645,1,0,0,NA,NA,NA,0,0,NA,NA,NA
"MIR4632,TNFRSF1B","MIR4632,TNFRSF1B",30.0905,36.0675,43.7912,12.1648,17.653,10.7614,1476.05,2830.82,3209.82,1921.55,3095.32,23.3754,84.2488,58.8789,31.7058,66.9764,39.0348,521.87,522.468,474.295,572.778,684.987,552.313,1.99185569126516e-05,0.00390403715487971,13.5264,36.6497333333333,-1.43802477862794,0.00673773050465522,0.0330148794728106,2506.712,554.785166666667,2.1757951323967,0.000145558108614949,0.000750773402329739
"MIR4684","MIR4684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"MMP23A","MMP23A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"MMP23A,MMP23B","MMP23A,MMP23B",0,0,0,0,0,0,7.1944,7.69244,46.5867,12.5958,22.9922,16.6967,19.1854,29.9384,15.8529,29.9895,21.748,76.933,52.9661,76.0194,122.231,121.866,83.4517,5.77470094858618e-07,0.000113184138592289,0,0,NA,NA,NA,19.412308,88.9112,-2.19539350894529,0.000832825156744024,0.00276667340206489
"MRTO4","MRTO4",1523.87,1766.36,1512.57,896.549,990.774,1234.49,340.535,353.852,419.28,415.66,583.427,651.172,523.01,788.378,759.075,666.766,510.241,470.908,506.447,573.864,510.597,553.715,534.172,1.32770806569786e-23,2.6023078087678e-21,1040.60433333333,1600.93333333333,-0.621491611678652,0.0126576029111,0.0496178034115122,422.5508,524.9505,-0.313056594994873,0.0389798575365796,0.0720759629921661
"MST1P2","MST1P2",6.44797,7.59315,13.019,36.4945,17.653,10.7614,324.947,130.771,288.838,239.32,186.812,112.87,112.61,117.758,70.8718,87.9691,121.566,276.371,102.009,192.941,134.311,192.614,280.994,1,1,21.6363,9.02004,1.26224807021651,0.187863421277453,0.379600315158564,234.1376,196.54,0.252533673505956,0.428739495092512,0.54566844829956
"NBPF3","NBPF3",767.309,732.739,802.445,749.354,712.739,710.254,303.364,323.082,354.059,292.502,189.686,508.916,544.698,502.965,483.98,374.868,564.889,563.522,705.561,530.483,626.431,557.804,645.844,1,1,724.115666666667,767.497666666667,-0.0839421997234881,0.141948238163959,0.295977177448254,292.5386,604.940833333333,-1.04816704691948,2.14902513162038e-05,0.000156003305850961
"NECAP2","NECAP2",584.616,651.113,620.179,1103.35,944.435,847.078,1942.49,2346.19,2212.87,1945.35,2532.01,489.548,618.937,589.786,506.361,589.793,613.962,1134.88,1119.81,1146.08,1066.32,1156.91,1116.72,1,1,964.954333333333,618.636,0.641369878191686,0.0108997916066879,0.0445074823939755,2195.782,1123.45333333333,0.966794630628158,2.879731343107e-06,6.27141492498858e-05
"NIPAL3","NIPAL3",243.948,239.184,267.482,182.473,156.67,161.421,1730.25,1584.64,1569.97,1491.9,1517.48,518.934,513,504.961,428.029,474.833,523.624,543.431,654.883,593.695,584.859,539.402,605.529,3.717081198478e-18,7.28547914901689e-16,166.854666666667,250.204666666667,-0.584516661002283,0.00212313057355321,0.0156288480951816,1578.848,586.9665,1.42752221398625,2.13609525821625e-09,2.09337335305192e-07
"NMNAT1","NMNAT1",239.65,200.269,183.45,296.822,324.374,367.426,264.994,223.081,218.957,173.542,258.662,293.194,343.668,310.361,277.892,320.887,313.951,450.328,460.347,412.736,380.904,378.685,437.819,1,1,329.540666666667,207.789666666667,0.665332599564047,0.0100034383940034,0.0439390318342446,227.8472,420.1365,-0.882791486122958,9.60917894539737e-06,0.000110788180782229
"OR4F3","OR4F3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"OR4F5","OR4F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA
"OTUD3","OTUD3",1215.44,1198.77,1314.92,996.301,1189.37,1097.67,603.13,769.244,614.944,873.306,528.82,573.031,716.532,350.279,352.494,370.87,658.573,1704.29,1392.48,740.776,1146.62,1305.77,1627.11,0.00101183184364512,0.198319041354443,1094.447,1243.04333333333,-0.183674498741957,0.0891955395801601,0.215831182193968,677.8888,1319.50766666667,-0.96087919304606,0.0040700661484646,0.0110796245152647
"PADI1","PADI1",17.1946,22.7795,27.2216,2.43297,0,0,1.19907,0,0,0,5.74805,4.67508,4.17073,0,0.932524,0.999648,3.34584,0.490019,0,0,0,0,0.403148,8.64512401106135e-10,1.69444430616802e-07,0.81099,22.3985666666667,-4.78757847855144,0.00200638859139702,0.0156288480951816,1.389424,0.148861166666667,3.22244756980166,0.250985434107625,0.351379607750675
"PADI3","PADI3",31.1652,25.6269,34.3229,7.29891,0,0,0,0,0,0,0,0,0,0,2.79757,0.999648,1.11528,0.490019,0.980853,0.413149,0.710643,0.817895,0.403148,9.67232644901859e-13,1.89577598400764e-10,2.43297,30.3716666666667,-3.64193564339609,0.00136171577909216,0.0121316496682756,0,0.635951166666667,-Inf,0.000222086135461091,0.00103485099317861
"PADI4","PADI4",4.29865,3.79658,4.73419,2.43297,0,0,17.986,30.7698,46.5867,36.3878,51.7324,0,0,0,0,0,0,26.9511,18.3093,11.9813,22.3852,15.1311,17.7385,1,1,0.81099,4.27647333333333,-2.39866551350073,0.0154371726646755,0.0581862661976232,36.69254,18.7494166666667,0.968641065927622,0.0138045997638136,0.0290935650936287
"PADI6","PADI6",0,0,0,0,0,0,0,0,0,0,0,0,0.834147,0,0,0,0,0,0.326951,0,0,0,0,0.218768910233616,1,0,0,NA,NA,NA,0,0.0544918333333333,-Inf,0.389283142476211,0.498689515851879
"PARK7","PARK7",4638.24,4973.51,4546,3456.03,4110.94,3914.08,2217.07,1784.65,2529.66,1820.79,2908.51,2636.75,2601.7,3164.49,3223.74,3215.87,2395.62,1615.1,1681.18,1770.34,1692.4,1698.77,1716.2,0.000434606740664038,0.0851829211701515,3827.01666666667,4719.25,-0.302337415614952,0.0187522946787081,0.0673546877926939,2252.136,1695.665,0.409442774785641,0.0186469980796994,0.0384717013012746
"PAX7","PAX7",5.37331,9.49144,7.10128,21.8967,33.0993,46.1204,0,0,0,0,0,703.266,341.166,437.101,812.228,415.854,243.689,0,0.653902,1.23945,0.355321,0,0,2.34693045299209e-06,0.00045999836878645,33.7054666666667,7.32201,2.20267095099965,0.0205506038248748,0.0706652342048325,0,0.374778833333333,-Inf,0.130768385906288,0.200193194134676
"PDIK1L","PDIK1L",268.666,277.15,263.931,291.956,333.2,342.828,633.107,369.237,349.4,379.272,465.592,673.212,476.298,525.918,594.95,487.828,690.916,746.299,857.266,793.246,671.202,706.661,825.245,1,1,322.661333333333,269.915666666667,0.257511983057855,0.0304612864533854,0.092403431666588,439.3216,766.653166666667,-0.803296617383568,0.000286188180912207,0.00119346560550622
"PDPN","PDPN",2747.91,3003.09,2668.9,642.304,522.97,570.356,1489.24,1653.87,1187.96,1287.57,1531.85,813.464,863.342,1140.65,1203.89,1477.48,921.221,855.083,1043.95,1104.35,701.049,852.247,1102.21,4.02959527055738e-17,7.89800673029246e-15,578.543333333333,2806.63333333333,-2.27834367088098,3.1011890277636e-05,0.00135553628418994,1430.098,943.148166666667,0.600557675339403,0.00135111729481274,0.00434129491448028
"PER3","PER3",420.193,396.742,493.539,152.061,127.984,158.347,2087.57,3392.37,1323.06,773.94,577.679,473.519,477.132,535.897,534.336,675.762,639.613,540.981,415.228,644.926,374.509,468.654,441.044,1,1,146.130666666667,436.824666666667,-1.57979535404603,0.000684181222187338,0.00901666793299114,1630.9238,480.890333333333,1.76190954691151,0.0352532753925025,0.0658061140660046
"PEX14","PEX14",117.138,135.728,107.703,200.72,116.951,109.152,374.109,384.622,423.939,341.485,385.119,356.642,294.454,354.271,353.427,335.882,325.104,266.57,228.539,267.721,284.968,284.219,273.335,1,1,142.274333333333,120.189666666667,0.243362553976671,0.50835749645122,0.778953665013112,381.8548,267.558666666667,0.513168897862665,3.48349186718929e-05,0.000227588135323033
"PGD","PGD",7101.37,7282.78,6909.55,4695.63,3702.71,4020.16,2520.44,2515.43,2785.88,1587.07,2779.18,3392.77,3296.55,3483.83,3552.92,3610.73,3574.47,1877.75,1991.46,2281,1966.7,2164.56,2189.5,1.61416930185403e-13,3.16377183163389e-11,4139.5,7097.9,-0.777935730211164,0.00069005111732075,0.00901666793299114,2437.6,2078.495,0.229922127698629,0.123369989294505,0.191908872235897
"PHF13","PHF13",1005.88,1120.94,1058.09,1276.09,1354.87,1229.88,591.139,630.78,568.358,752.947,410.985,756.695,816.63,813.327,868.18,893.686,756.16,592.433,515.929,730.861,584.504,578.661,570.455,1.50066053684827e-06,0.000294129465222261,1286.94666666667,1061.63666666667,0.277662162685958,0.0103122217570166,0.0439390318342446,590.8418,595.473833333333,-0.0112662183516466,0.939486143201852,1
"PIK3CD","PIK3CD",683.485,613.147,632.014,366.162,238.315,207.542,928.077,1030.79,1607.24,985.269,959.924,221.065,201.863,147.696,94.1849,111.961,233.093,247.46,280.524,272.265,325.119,256.001,290.267,0.00179613080444619,0.352041637671453,270.673,642.882,-1.24800297346492,0.00215295356413216,0.0156288480951816,1102.26,278.606,1.98416633256934,5.52814628782003e-05,0.000328338385579614
"PINK1","PINK1",279.412,269.557,254.463,1007.25,593.582,598.028,1637.92,2184.65,1560.65,1573.07,1678.43,1441.93,1225.36,1919.05,2055.28,1988.3,1279.78,697.297,719.619,807.706,732.317,633.46,677.692,1,1,732.953333333333,267.810666666667,1.45250792271982,0.0276153484716725,0.0859144174674255,1726.944,711.3485,1.2795928655492,6.12789362325663e-06,0.000100047726342876
"PITHD1","PITHD1",1652.83,1671.44,1532.69,991.435,1213.64,1254.47,894.503,930.785,1104.1,930.687,1063.39,1054.56,930.073,1011.92,958.635,864.696,1122.53,725.718,617.284,621.789,524.099,577.434,589.403,1,1,1153.18166666667,1618.98666666667,-0.489471298126154,0.00732486863112622,0.0350164451634326,984.693,609.287833333333,0.692550070377733,2.70716597517003e-05,0.000182967079701147
"PLA2G2F","PLA2G2F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326951,0,0,0,0,0.624289615847645,1,0,0,NA,NA,NA,0,0.0544918333333333,-Inf,0.389283142476211,0.498689515851879
